Tot_Gas_Yield_umol_gcat_h,Class,class,class_n
0.35,0-10,a,1
0.71,0-10,a,1
2.32,0-10,a,1
3.59,0-10,a,1
4.33,0-10,a,1
3.18,0-10,a,1
0.34,0-10,a,1
3.19,0-10,a,1
38.33,20-100,c,3
55.83,20-100,c,3
66.83,20-100,c,3
47.17,20-100,c,3
24.33,20-100,c,3
48,20-100,c,3
60.5,20-100,c,3
69.16,20-100,c,3
25.17,20-100,c,3
27.87,20-100,c,3
156,over 100,d,4
107.16,over 100,d,4
133.96,over 100,d,4
73.26,20-100,c,3
11.74,10-20,b,2
7.63,0-10,a,1
11.16,10-20,b,2
18.94,10-20,b,2
11.54,10-20,b,2
8.97,0-10,a,1
6.47,0-10,a,1
1.12,0-10,a,1
0.81,0-10,a,1
44.96,20-100,c,3
165.07,over 100,d,4
0.06,0-10,a,1
0.01,0-10,a,1
80,20-100,c,3
32.8,20-100,c,3
49.5,20-100,c,3
55.8,20-100,c,3
50.6,20-100,c,3
47.2,20-100,c,3
43.75,20-100,c,3
36.85,20-100,c,3
45.8,20-100,c,3
57.3,20-100,c,3
56.8,20-100,c,3
72.18,20-100,c,3
62.9,20-100,c,3
62.3,20-100,c,3
67.9,20-100,c,3
114.5,over 100,d,4
157.23,over 100,d,4
257.5,over 100,d,4
152.5,over 100,d,4
167.5,over 100,d,4
115,over 100,d,4
112.5,over 100,d,4
2.1,0-10,a,1
3.02,0-10,a,1
3.72,0-10,a,1
4.08,0-10,a,1
4.89,0-10,a,1
3.68,0-10,a,1
7.58,0-10,a,1
1.68,0-10,a,1
0.82,0-10,a,1
36.9,20-100,c,3
