Tot_Gas_Yield_umol_gcat_h,Class,class,class_n
80.22,45-150,b,2
1.09,0-45,a,1
2.3,0-45,a,1
2.4,0-45,a,1
0.98,0-45,a,1
1.34,0-45,a,1
1.42,0-45,a,1
1.92,0-45,a,1
0.21,0-45,a,1
3.49,0-45,a,1
2.02,0-45,a,1
3.35,0-45,a,1
1.34,0-45,a,1
1.08,0-45,a,1
2.79,0-45,a,1
1.1,0-45,a,1
1.19,0-45,a,1
0.28,0-45,a,1
38.94,0-45,a,1
4.0,0-45,a,1
1.13,0-45,a,1
12.92,0-45,a,1
0.24,0-45,a,1
27.98,0-45,a,1
12.61,0-45,a,1
3.72,0-45,a,1
8.51,0-45,a,1
11.05,0-45,a,1
16.96,0-45,a,1
28.0,0-45,a,1
28.77,0-45,a,1
31.15,0-45,a,1
0.14,0-45,a,1
0.02,0-45,a,1
0.62,0-45,a,1
0.87,0-45,a,1
1.12,0-45,a,1
1.84,0-45,a,1
2.22,0-45,a,1
1.58,0-45,a,1
0.35,0-45,a,1
0.71,0-45,a,1
2.32,0-45,a,1
3.59,0-45,a,1
4.33,0-45,a,1
3.18,0-45,a,1
0.34,0-45,a,1
3.19,0-45,a,1
38.33,0-45,a,1
55.83,45-150,b,2
66.83,45-150,b,2
47.17,45-150,b,2
24.33,0-45,a,1
48.0,45-150,b,2
60.5,45-150,b,2
69.16,45-150,b,2
25.17,0-45,a,1
27.87,0-45,a,1
156.0,150-300,c,3
107.16,45-150,b,2
133.96,45-150,b,2
73.26,45-150,b,2
11.74,0-45,a,1
7.63,0-45,a,1
11.16,0-45,a,1
18.94,0-45,a,1
11.54,0-45,a,1
8.97,0-45,a,1
6.47,0-45,a,1
1.12,0-45,a,1
0.81,0-45,a,1
44.96,0-45,a,1
165.07,150-300,c,3
0.06,0-45,a,1
0.01,0-45,a,1
80.0,45-150,b,2
32.8,0-45,a,1
49.5,45-150,b,2
55.8,45-150,b,2
50.6,45-150,b,2
47.2,45-150,b,2
43.75,0-45,a,1
36.85,0-45,a,1
45.8,45-150,b,2
57.3,45-150,b,2
56.8,45-150,b,2
72.18,45-150,b,2
62.9,45-150,b,2
62.3,45-150,b,2
67.9,45-150,b,2
114.5,45-150,b,2
157.23,150-300,c,3
257.5,150-300,c,3
152.5,150-300,c,3
167.5,150-300,c,3
115.0,45-150,b,2
112.5,45-150,b,2
2.1,0-45,a,1
3.02,0-45,a,1
3.72,0-45,a,1
4.08,0-45,a,1
4.89,0-45,a,1
3.68,0-45,a,1
7.58,0-45,a,1
1.68,0-45,a,1
0.82,0-45,a,1
36.9,0-45,a,1
